iter	Passed	Remaining
0	59	59550
1	59	29895
2	60	20005
3	60	15089
4	60	12114
5	61	10127
6	61	8706
7	61	7642
8	61	6822
9	62	6159
10	62	5617
11	62	5168
12	63	4786
13	63	4458
14	63	4174
15	63	3925
16	64	3709
17	64	3513
18	64	3339
19	64	3182
20	65	3038
21	65	2909
22	65	2791
23	65	2682
24	66	2583
25	66	2491
26	66	2406
27	67	2327
28	67	2252
29	67	2183
30	67	2118
31	68	2058
32	68	2001
33	68	1949
34	68	1898
35	69	1851
36	69	1805
37	69	1762
38	69	1721
39	70	1683
40	70	1646
41	70	1611
42	70	1577
43	71	1546
44	71	1516
45	71	1487
46	71	1459
47	72	1432
48	72	1406
49	72	1382
50	73	1358
51	73	1335
52	73	1313
53	73	1291
54	74	1272
55	74	1252
56	74	1233
57	74	1214
58	75	1196
59	75	1179
60	75	1162
61	75	1147
62	76	1131
63	76	1116
64	76	1102
65	76	1088
66	77	1074
67	77	1058
68	77	1044
69	77	1031
70	77	1019
71	78	1008
72	78	996
73	78	985
74	78	973
75	79	962
76	79	952
77	79	941
78	79	931
79	80	921
80	80	911
81	80	902
82	80	893
83	81	884
84	81	874
85	81	865
86	81	856
87	81	848
88	82	840
89	82	832
90	82	825
91	82	817
92	83	811
93	83	804
94	83	797
95	84	791
96	84	784
97	84	778
98	84	772
99	85	765
100	85	760
101	85	752
102	85	747
103	86	741
104	86	735
105	86	729
106	86	723
107	86	718
108	87	712
109	87	707
110	87	702
111	87	696
112	88	691
113	88	686
114	88	681
115	88	675
116	88	671
117	89	666
118	89	661
119	89	656
120	89	652
121	90	648
122	90	642
123	90	638
124	90	634
125	90	630
126	91	626
127	91	621
128	91	617
129	91	613
130	91	610
131	92	606
132	92	603
133	92	599
134	92	595
135	93	592
136	93	588
137	93	584
138	93	581
139	94	577
140	94	574
141	94	571
142	94	568
143	95	564
144	95	561
145	95	558
146	95	555
147	95	552
148	96	549
149	96	546
150	96	543
151	96	540
152	97	538
153	97	535
154	97	532
155	97	529
156	98	526
157	98	523
158	98	521
159	98	518
160	99	516
161	99	513
162	99	510
163	99	508
164	100	506
165	100	503
166	100	501
167	100	499
168	101	496
169	101	494
170	101	492
171	101	489
172	102	487
173	102	485
174	102	483
175	102	480
176	102	478
177	103	476
178	103	474
179	103	472
180	103	469
181	103	467
182	104	465
183	104	463
184	104	461
185	104	459
186	105	457
187	105	455
188	105	453
189	105	451
190	106	449
191	106	447
192	106	445
193	106	443
194	107	442
195	107	440
196	107	438
197	107	436
198	107	434
199	108	432
200	108	430
201	108	429
202	108	427
203	109	425
204	109	424
205	109	422
206	109	420
207	110	419
208	110	417
209	110	415
210	110	414
211	110	412
212	111	411
213	111	409
214	111	408
215	112	406
216	112	405
217	112	403
218	112	402
219	113	400
220	113	399
221	113	397
222	113	396
223	114	394
224	114	393
225	114	392
226	114	390
227	115	389
228	115	388
229	115	386
230	115	385
231	116	384
232	116	382
233	116	381
234	116	379
235	116	378
236	117	377
237	117	376
238	117	374
239	117	373
240	118	372
241	118	370
242	118	369
243	118	368
244	119	366
245	119	365
246	119	364
247	119	363
248	120	362
249	120	360
250	120	359
251	120	358
252	121	357
253	121	356
254	121	355
255	121	353
256	122	352
257	122	351
258	122	350
259	122	349
260	122	348
261	123	347
262	123	345
263	123	344
264	123	343
265	124	342
266	124	341
267	124	340
268	124	339
269	125	338
270	125	337
271	125	336
272	125	335
273	126	334
274	126	332
275	126	332
276	126	330
277	127	329
278	127	329
279	127	328
280	127	326
281	127	325
282	128	324
283	128	323
284	128	322
285	128	321
286	129	320
287	129	319
288	129	318
289	129	317
290	130	316
291	130	315
292	130	315
293	130	314
294	131	313
295	131	312
296	131	311
297	131	310
298	132	309
299	132	308
300	132	307
301	132	306
302	132	305
303	133	305
304	133	304
305	133	303
306	133	302
307	134	301
308	134	300
309	134	299
310	134	298
311	135	297
312	135	296
313	135	295
314	135	295
315	135	294
316	136	293
317	136	292
318	136	291
319	136	290
320	137	289
321	137	289
322	137	288
323	137	287
324	138	286
325	138	285
326	138	285
327	138	284
328	138	283
329	139	282
330	139	281
331	139	281
332	139	280
333	140	279
334	140	278
335	140	277
336	140	277
337	141	276
338	141	275
339	141	274
340	141	274
341	142	273
342	142	272
343	142	271
344	142	271
345	143	270
346	143	269
347	143	268
348	143	268
349	144	267
350	144	266
351	144	266
352	144	265
353	145	264
354	145	263
355	145	263
356	145	262
357	145	261
358	146	260
359	146	260
360	146	259
361	146	258
362	147	258
363	147	257
364	147	256
365	147	256
366	148	255
367	148	254
368	148	253
369	148	253
370	148	252
371	149	251
372	149	251
373	149	250
374	149	249
375	150	249
376	150	248
377	150	247
378	150	247
379	151	246
