iter	Passed	Remaining
0	59	59545
1	59	29892
2	60	20020
3	60	15063
4	60	12088
5	61	10107
6	61	8690
7	61	7626
8	61	6800
9	62	6144
10	62	5604
11	62	5155
12	62	4773
13	63	4447
14	63	4164
15	63	3915
16	63	3695
17	64	3500
18	64	3330
19	64	3172
20	65	3030
21	65	2901
22	65	2782
23	65	2675
24	66	2577
25	66	2485
26	66	2399
27	66	2319
28	67	2245
29	67	2178
30	67	2113
31	67	2052
32	68	1998
33	68	1944
34	68	1894
35	68	1847
36	69	1801
37	69	1758
38	69	1717
39	69	1679
40	70	1642
41	70	1606
42	70	1573
43	70	1541
44	71	1510
45	71	1481
46	71	1453
47	71	1425
48	72	1400
49	72	1375
50	72	1352
51	72	1329
52	73	1306
53	73	1285
54	73	1265
55	73	1245
56	74	1226
57	74	1207
58	74	1189
59	74	1173
60	75	1156
61	75	1140
62	75	1124
63	75	1109
64	76	1095
65	76	1081
66	76	1067
67	76	1053
68	77	1040
69	77	1027
70	77	1015
71	77	1003
72	78	991
73	78	979
74	78	968
75	78	957
76	78	946
77	79	936
78	79	926
79	79	916
80	79	907
81	80	897
82	80	886
83	80	878
84	80	869
85	80	860
86	81	852
87	81	843
88	81	836
89	81	828
90	82	820
91	82	813
92	82	805
93	82	798
94	83	791
95	83	785
96	83	778
97	83	771
98	84	765
99	84	758
100	84	752
101	84	745
102	84	739
103	85	733
104	85	728
105	85	722
106	85	717
107	86	712
108	86	706
109	86	701
110	86	696
111	87	691
112	87	686
113	87	681
114	87	676
115	88	671
116	88	666
117	88	661
118	88	657
119	89	653
120	89	648
121	89	644
122	89	640
123	90	635
124	90	631
125	90	627
126	90	623
127	91	620
128	91	616
129	91	612
130	91	608
131	92	605
132	92	601
133	92	598
134	92	594
135	93	590
136	93	588
137	93	584
138	93	581
139	94	577
140	94	574
141	94	570
142	94	567
143	94	564
144	95	560
145	95	557
146	95	554
147	95	551
148	96	548
149	96	545
150	96	543
151	96	540
152	97	537
153	97	534
154	97	531
155	97	528
156	97	525
157	98	523
158	98	520
159	98	517
160	98	514
161	99	512
162	99	509
163	99	507
164	99	505
165	100	502
166	100	500
167	100	497
168	100	496
169	101	494
170	101	491
171	101	489
172	102	487
173	102	485
174	102	483
175	102	480
176	102	478
177	103	476
178	103	474
179	103	472
180	103	470
181	104	468
182	104	466
183	104	464
184	104	462
185	105	460
186	105	458
187	105	456
188	105	454
189	106	452
190	106	450
191	106	448
192	106	446
193	107	445
194	107	443
195	107	441
196	107	439
197	108	437
198	108	436
199	108	434
200	108	433
201	109	431
202	109	429
203	109	427
204	109	426
205	110	424
206	110	423
207	110	421
208	110	419
209	111	418
210	111	416
211	111	415
212	111	413
213	112	411
214	112	410
215	112	409
216	112	407
217	113	406
218	113	404
219	113	403
220	113	401
221	114	400
222	114	398
223	114	397
224	114	395
225	115	394
226	115	393
227	115	391
228	115	390
229	116	388
230	116	387
231	116	386
232	116	385
233	117	383
234	117	382
235	117	381
236	117	379
237	118	378
238	118	377
239	118	375
240	118	374
241	119	373
242	119	372
243	119	370
244	119	369
245	120	368
246	120	367
247	120	366
248	120	364
249	121	363
250	121	362
251	121	361
252	121	359
253	122	358
254	122	357
255	122	356
256	122	355
257	123	354
258	123	353
259	123	351
260	123	350
261	124	349
262	124	348
263	124	347
264	124	346
265	125	345
266	125	344
267	125	342
268	125	341
269	126	340
270	126	339
271	126	338
272	126	337
273	126	336
274	127	335
275	127	334
276	127	333
277	127	332
278	128	331
279	128	330
280	128	329
281	128	328
282	129	327
283	129	326
284	129	325
285	129	324
286	130	323
287	130	322
288	130	321
289	130	320
290	131	319
291	131	318
292	131	317
293	131	316
294	131	315
295	132	314
296	132	313
297	132	312
298	132	311
299	133	310
300	133	309
301	133	308
302	133	307
303	134	306
304	134	306
305	134	305
306	134	304
307	135	303
308	135	302
309	135	301
310	135	300
311	135	299
312	136	298
313	136	298
314	136	297
315	136	296
316	137	295
317	137	294
318	137	293
319	137	292
320	138	291
321	138	291
322	138	290
323	138	289
324	138	288
325	139	287
326	139	286
327	139	286
328	139	285
329	140	284
330	140	283
331	140	283
332	140	282
333	141	281
334	141	280
335	141	279
336	141	279
337	142	278
338	142	277
339	142	276
340	142	276
341	143	275
342	143	274
343	143	273
344	143	273
345	144	272
346	144	271
347	144	270
348	144	269
349	144	269
350	145	268
351	145	267
352	145	266
353	145	266
354	146	265
355	146	264
356	146	264
357	146	263
358	147	262
359	147	262
360	147	261
361	147	260
362	148	259
363	148	259
364	148	258
365	148	257
366	149	257
367	149	256
368	149	255
369	149	254
370	149	254
371	150	253
372	150	252
373	150	252
374	150	251
375	151	250
376	151	250
377	151	249
378	151	248
379	151	247
380	152	247
381	152	246
382	152	245
383	152	245
384	153	244
385	153	244
386	154	244
387	154	243
388	154	242
389	154	242
390	155	241
391	155	240
392	155	240
393	155	239
394	156	239
395	156	238
396	156	237
397	156	237
398	157	236
399	157	235
400	157	235
401	157	234
402	158	234
403	158	233
404	158	232
405	158	232
406	159	231
407	159	231
408	159	230
409	159	229
410	159	229
411	160	228
412	160	228
413	160	227
414	160	226
415	161	226
416	161	225
417	161	225
418	161	224
419	162	223
420	162	223
421	162	222
422	162	221
423	162	221
424	163	220
425	163	220
426	163	219
427	163	218
428	164	218
429	164	217
430	164	217
431	164	216
432	165	216
433	165	215
434	165	215
